movie_title,director_name,actor_1_name,num_critic_for_reviews,duration,director_facebook_likes,actor_facebook_likes,movie_facebook_likes,gross,num_user_for_reviews, budget ,imdb_score
Total Recall ,Paul Verhoeven,Ronny Cox,196,113,719,1130,17372,119412921,391,"65,000,000",7.5
Gone in Sixty Seconds ,Dominic Sena,Nicolas Cage,175,127,57,26000,17372,101643008,498,"90,000,000",6.5
End of Days ,Peter Hyams,CCH Pounder,174,121,976,2595,2000,66862068,524,"83,000,000",5.7
Legend of the Guardians: The Owls of Ga'Hoole ,Zack Snyder,Abbie Cornish,188,101,976,3230,16000,55673333,160,"80,000,000",7
The Peanuts Movie ,Steve Martino,Francesca Capaldi,208,88,20,222,33000,130174897,155,"99,000,000",7.2
The Spanish Prisoner ,David Mamet,Ben Gazzara,97,110,342,1524,578,10200000,263,"10,000,000",7.3
The Stepford Wives ,Frank Oz,Jon Lovitz,169,93,976,13465,17372,59475623,407,"90,000,000",5.2
Black Hawk Down ,Ridley Scott,Ioan Gruffudd,200,152,976,3377,10000,108638745,1103,"92,000,000",7.7
The Campaign ,Jay Roach,Will Ferrell,255,85,116,8660,18000,86897182,177,"95,000,000",6.2
The Road to El Dorado ,Bibo Bergeron,Frank Welker,82,89,10,3361,17372,50802661,139,"95,000,000",6.9
The Lovely Bones ,Peter Jackson,Michael Imperioli,308,135,976,1743,16000,43982842,593,"65,000,000",6.7
The Spiderwick Chronicles ,Mark Waters,Martin Short,198,107,70,1519,17372,71148699,125,"90,000,000",6.6
Charlie's Angels ,McG,Bill Murray,181,94,368,14466,17372,125305545,643,"92,000,000",5.5
Mulan ,Tony Bancroft,Ming-Na Wen,143,88,7,2984,12000,120618403,222,"90,000,000",7.5
Tropic Thunder ,Ben Stiller,Robert Downey Jr.,308,121,976,22918,17372,110416702,577,"92,000,000",7
Die Hard with a Vengeance ,John McTiernan,Bruce Willis,148,128,323,14048,17372,100012500,346,"90,000,000",7.6
Valkyrie ,Bryan Singer,Tom Cruise,269,121,976,11919,17372,83077470,440,"75,000,000",7.1
You Don't Mess with the Zohan ,Dennis Dugan,Adam Sandler,198,113,221,12103,17372,100018837,380,"90,000,000",5.5
The Haunted Mansion ,Rob Minkoff,Marsha Thomason,122,88,50,1701,988,75817994,179,"90,000,000",4.9
