movie_title,director_name,actor_1_name,num_critic_for_reviews,duration,director_facebook_likes,actor_facebook_likes,movie_facebook_likes,gross,num_user_for_reviews,budget,imdb_score
Avatar ,James Cameron,CCH Pounder,723,178,976,2791,33000,760505847,3054,237000000,7.9
Pirates of the Caribbean: At World's End ,Gore Verbinski,Johnny Depp,302,169,563,46000,17372,309404152,1238,300000000,7.1
The Dark Knight Rises ,Christopher Nolan,Tom Hardy,813,164,22000,73000,164000,448130642,2701,250000000,8.5
John Carter ,Andrew Stanton,Daryl Sabara,462,132,475,1802,24000,73058679,738,263700000,6.6
Spider-Man 3 ,Sam Raimi,J.K. Simmons,392,156,976,39000,17372,336530303,1902,258000000,6.2
Tangled ,Nathan Greno,Brad Garrett,324,100,15,1636,29000,200807262,387,260000000,7.8
Avengers: Age of Ultron ,Joss Whedon,Chris Hemsworth,635,141,976,66000,118000,458991599,1117,250000000,7.5
Batman v Superman: Dawn of Justice ,Zack Snyder,Henry Cavill,673,183,976,21000,197000,330249062,3018,250000000,6.9
Superman Returns ,Bryan Singer,Kevin Spacey,434,169,976,28903,17372,200069408,2367,209000000,6.1
Pirates of the Caribbean: Dead Man's Chest ,Gore Verbinski,Johnny Depp,313,151,563,46000,5000,423032628,1832,225000000,7.3
The Lone Ranger ,Gore Verbinski,Johnny Depp,450,150,563,43000,48000,89289910,711,215000000,6.5
Man of Steel ,Zack Snyder,Henry Cavill,733,143,976,18748,118000,291021565,2536,225000000,7.2
The Chronicles of Narnia: Prince Caspian ,Andrew Adamson,Peter Dinklage,258,150,80,22417,17372,141614023,438,225000000,6.6
The Avengers ,Joss Whedon,Chris Hemsworth,703,173,976,66000,123000,623279547,1722,220000000,8.1
Pirates of the Caribbean: On Stranger Tides ,Rob Marshall,Johnny Depp,448,136,252,52000,58000,241063875,484,250000000,6.7
Men in Black 3 ,Barry Sonnenfeld,Will Smith,451,106,188,11534,40000,179020854,341,225000000,6.8
The Amazing Spider-Man ,Marc Webb,Emma Stone,599,153,464,25963,56000,262030663,1225,230000000,7
Robin Hood ,Ridley Scott,Mark Addy,343,156,976,2511,17000,105219735,546,200000000,6.7
The Hobbit: The Desolation of Smaug ,Peter Jackson,Aidan Turner,509,186,976,6745,83000,258355354,951,225000000,7.9
The Golden Compass ,Chris Weitz,Christopher Lee,251,113,129,23000,17372,70083519,666,180000000,6.1
Titanic ,James Cameron,Leonardo DiCaprio,315,194,976,43794,26000,658672302,2528,200000000,7.7
Captain America: Civil War ,Anthony Russo,Robert Downey Jr.,516,147,94,51000,72000,407197282,1022,250000000,8.2
Battleship ,Peter Berg,Liam Neeson,377,131,532,24627,44000,65173160,751,209000000,5.9
Jurassic World ,Colin Trevorrow,Bryce Dallas Howard,644,124,365,6000,150000,652177271,1290,150000000,7
Spider-Man 2 ,Sam Raimi,J.K. Simmons,300,135,976,39000,17372,373377893,1303,200000000,7.3
Iron Man 3 ,Shane Black,Robert Downey Jr.,608,195,1000,28000,95000,408992272,1187,200000000,7.2
